tree,x,y,bb_date_2013,bb_date_2014,species
M8-oak,446896,208465,32.50750751,11.45946,oak
M9-oak,446982,208483,33.03103103,14.74675,oak
N0-oak,445727,208658,34.89189189,15.98599,oak
N1-oak,445490,208617,31.9009009,9.783784,oak
N2-oak,445599,208639,34.85585586,11.94595,oak
N3-oak,445812,208591,30.04804805,6.558559,oak
N4-oak,445937,208625,32.97597598,14.05405,oak
N5-oak,446116,208618,29.33333333,-0.8728729,oak
N6-oak,446169,208600,34.15015015,12.7968,oak
N7-oak,446419,208585,34.04004004,12.18418,oak
N8-oak,445557,208695,32.62162162,7.777778,oak
N9-oak,445609,208688,31.47247247,6.336336,oak
P0-oak,446006,208763,33.01501502,14.37838,oak
P1-oak,445899,208699,32.7027027,14.85886,oak
P2-oak,446021,208717,32.39039039,13.62162,oak
P3-oak,446203,208706,32.35135135,7.827828,oak
P4-oak,446457,208700,29.47347347,7.6997,oak
P5-oak,446579,208701,27.54954955,11.31532,oak
P6-oak,445394,208823,32.4974975,9.379379,oak
P7-oak,445479,208831,28.90990991,3.429429,oak
P8-oak,445582,208830,32.81781782,9.411411,oak
P9-oak,445846,208833,33.66666667,10.02002,oak
Q0-oak,446594,208886,32.22522523,5.891892,oak
Q1-oak,446176,208782,32.7027027,10.1982,oak
Q2-oak,446538,208816,32.11711712,6.414414,oak
Q3-oak,446688,208813,32.97697698,8.648649,oak
Q4-oak,445774,208912,36.15715716,18.1001,oak
Q5-oak,445899,208906,37.08208208,18.05606,oak
Q6-oak,446115,208843,32.68668669,14.98699,oak
Q7-oak,446182,208929,33.01501502,9.189189,oak
Q8-oak,446415,208865,32.94594595,12.09009,oak
Q9-oak,446485,208906,29.64664665,5.439439,oak
R0-oak,446139,209077,34.6036036,13.4955,oak
R1-oak,445327,209024,31.42742743,9.666667,oak
R2-oak,445387,209012,28.79279279,5.722723,oak
R3-oak,446067,209013,28.002002,2.014014,oak
R4-oak,446388,209052,31.63263263,9.351351,oak
R5-oak,446532,208962,32.27327327,11.94595,oak
R6-oak,446627,208988,32.90990991,5.77978,oak
R7-oak,445395,209070,31.4954955,7.148148,oak
R8-oak,445514,209138,30.45045045,4.76977,oak
R9-oak,446007,209155,30.99199199,6.424424,oak
T0-oak,446159,209211,30.54354354,7.585586,oak
T1-oak,446164,209097,27.46046046,0.6906907,oak
T2-oak,446364,209133,38.42342342,29.63964,oak
T3-oak,446492,209113,34.67567568,18.45245,oak
T4-oak,445489,209208,29.90590591,7.36036,oak
T5-oak,445632,209201,28.68468468,6.475475,oak
T6-oak,445702,209169,28.82882883,5.706707,oak
T7-oak,445770,209199,31.53153153,10.02302,oak
T8-oak,446040,209176,33.94994995,12.00901,oak
T9-oak,446092,209242,35.63663664,21.17918,oak
U0-oak,446170,209303,30.67167167,9.531532,oak
U1-oak,446358,209182,30.7997998,9.315315,oak
U2-oak,446366,209240,34.85585586,14.34434,oak
U3-oak,446554,209250,33.23423423,11.1011,oak
U4-oak,445595,209274,30.05405405,8.717718,oak
U5-oak,445702,209308,33.34934935,21.19419,oak
U6-oak,445822,209325,25.90990991,-1.396396,oak
U7-oak,445911,209315,25.36536537,2.471471,oak
U8-oak,445990,209269,31.63963964,8.801802,oak
U9-oak,446080,209302,29.74274274,5.951952,oak
X0-oak,446178,209520,33.07407407,8.738739,oak
X1-oak,446265,209304,31.12012012,17.91592,oak
X2-oak,446391,209343,34.06306306,11.94595,oak
X3-oak,446518,209304,34.78778779,16.10611,oak
X4-oak,445819,209379,29.26126126,-1.252252,oak
X5-oak,445925,209374,32.18018018,10.56757,oak
X6-oak,445995,209404,31.53153153,9.414414,oak
X7-oak,446118,209392,30.19119119,6.112112,oak
X8-oak,446195,209450,30.51151151,7.137137,oak
X9-oak,446092,209495,29.45445445,5.279279,oak
