nb,section,x,y,grid.ref,bearing,sp,number,logger,qc
W69,w,-1.336472741,51.77998603,SP4587209244,50,G,69,542,1
W7,w,-1.332377525,51.7795133,SP4615509194,180,G,7,635,1
W71,w,-1.337328819,51.77992792,SP4581309237,210,G,71,725,1
W72,w,-1.338085043,51.78075037,SP4576009328,170,G,72,557,1
W73,w,-1.337645454,51.78008255,SP4579109254,315,G,73,510,1
W74,w,-1.337520534,51.77970422,SP4580009212,165,G,74,545,1
W75,w,-1.339454415,51.77929251,SP4566709165,75,G,75,783,1
W75A,w,-1.338231927,51.7796273,SP4575109203,95,G,75a,508,1
W76,w,-1.33978817,51.77926741,SP4564409162,290,G,76,505,1
W77,w,-1.340296507,51.77919833,SP4560909154,115,G,77,556,1
W78,w,-1.339189454,51.77956975,SP4568509196,350,G,78,786,1
W79,w,-1.339197778,51.77999238,SP4568409243,5,G,79,544,1
W80,w,-1.338905136,51.78017955,SP4570409264,10,G,80,513,1
W81,w,-1.340320199,51.78055613,SP4560609305,270,G,81,784,1
W83,w,-1.340316845,51.77979187,SP4560709220,360,G,83,552,1
W84,w,-1.3408134,51.78053193,SP4557209302,255,G,84,504,1
W85,w,-1.340905212,51.78019977,SP4556609265,150,G,85,797,1
W87,w,-1.341191432,51.78045312,SP4554609293,285,G,87,791,1
W89,w,-1.341657213,51.78032086,SP4551409278,230,G,89,794,1
W9,w,-1.332013149,51.77866651,SP4618109100,150,G,9,264,1
W91,w,-1.34192347,51.77995372,SP4549609237,145,G,91,519,1
W92,w,-1.341943325,51.77958519,SP4549509196,340,G,92,788,1
W93,w,-1.341746816,51.77914352,SP4550909147,285,G,93,793,1
W94,w,-1.341212504,51.77900566,SP4554609132,315,G,94,727,1
W95,w,-1.341750477,51.77889179,SP4550909119,30,G,95,506,1
W96,w,-1.341979895,51.77906391,SP4549309138,310,G,96,790,1
W97,w,-1.34207274,51.77865982,SP4548709093,110,G,97,518,1
W98,w,-1.342475692,51.77885988,SP4545909115,210,G,98,787,1
W99,w,-1.34362905,51.77829089,SP4538009051,310,G,99,792,1
W99A,w,-1.343561407,51.77795784,SP4538509014,320,G,99a,800,1
